qvalue	svalue	TP	FP	TN	FN	FDR	sens	cutoff
0.0	3.9030313543272086e-05	1.0	0.0	17081.38095038961	30745.61904961039	6.321116469760253e-12	3.252390119337923e-05	8.095051686960293
0.01	0.7554137175488187	23226.0	235.0	16846.38095038961	7520.619049610392	0.009998015745483972	0.755400129117426	2.199747448676586
0.02	0.7980716291800063	24538.0	501.0	16580.38095038961	6208.619049610392	0.020012605555755205	0.7980714874831396	1.8900906530705097
0.05	0.8652018306317847	26602.0	1400.0	15681.380950389608	4144.619049610392	0.049994332898187575	0.8652008195462743	1.3922310932179554
0.1	0.9325050665890375	28671.0	3186.0	13895.380950389608	2075.619049610392	0.09999563319158465	0.9324927711153759	0.894396806183463
0.2	1.0	31103.0	7775.0	9306.380950389608	-356.3809503896082	0.19998664054318188	1.0	0.12283061765497366
0.3	1.0	31648.0	13564.0	3517.380950389608	-901.3809503896082	0.2999994636596841	1.0	-0.8167409205855646
0.4	1.0	30747.0	17081.0	0.38095038960818783	-0.38095038960818783	0.3571418614700512	1.0	-9.018684140044622
0.5								
