qvalue	svalue	TP	FP	TN	FN	FDR	sens	cutoff
0.0	4.0384097639773855e-05	2.0	0.0	18114.090769702547	29713.909230297453	0.0	6.730401498066428e-05	8.157813631048882
0.01	0.7296127432405214	21681.0	219.0	17895.090769702547	8034.909230297453	0.010000389916328298	0.7296091743978912	2.251973637185464
0.02	0.7739220855066918	22998.0	469.0	17645.090769702547	6717.909230297453	0.019993318128234728	0.7739288682626586	1.9435546061272555
0.05	0.8483049634577982	25208.0	1327.0	16787.090769702547	4507.909230297453	0.050007566864124726	0.8482998048162927	1.4376694910527315
0.1	0.9188136704351547	27303.0	3034.0	15080.090769702547	2412.909230297453	0.09999670356255479	0.9188007605085385	0.952013378914844
0.2	1.0	29802.0	7450.0	10664.090769702547	-86.09076970254682	0.19999861966540955	1.0	0.21974524829983097
0.3	1.0	30688.0	13152.0	4962.090769702547	-972.0907697025468	0.29999069126572236	1.0	-0.5989409776011707
0.4	1.0	29716.0	18114.0	0.09076970254682237	-0.09076970254682237	0.37871817276694797	1.0	-5.341123996291541
0.5								
