Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1433E_MOUSE;1433F_MOUSE;1433T_MOUSE;1433Z_MOUSE,ST-Ctrl,-0.164840402714972,0.14182891686809,-1.16224819560798,7.0,0.283223777356287,0.546820519960522,,0.0,0.0
1433S_MOUSE,ST-Ctrl,0.068856984520005,0.465501855717592,0.147919892636859,7.0,0.88657667679362,0.940679079249816,,0.08,0.08
2A5A_MOUSE;2A5E_MOUSE,ST-Ctrl,0.70250233100929,0.196256049401279,3.57951937355523,2.0,0.0699553310332353,0.284292459225666,,0.4,0.0
5HT2B_MOUSE,ST-Ctrl,0.552507609510512,0.0878551127961913,6.2888498110774,7.0,0.0004085293330553,0.0523835989309494,,0.0,0.0
5NT3B_MOUSE,ST-Ctrl,-0.235529321323733,0.250814376100123,-0.939058298754421,7.0,0.378964578805458,0.617419963304156,,0.025,0.025
A16L1_MOUSE,ST-Ctrl,0.0894390572472119,0.0829972205203085,1.07761508983698,7.0,0.316934565361452,0.573006219203704,,0.0,0.0
A1AT2_MOUSE;A1AT5_MOUSE,ST-Ctrl,0.73032323784881,0.294167003582834,2.48268238433873,7.0,0.042044630130607,0.230748856104764,,0.3,0.3
A1AT4_MOUSE;A1AT5_MOUSE,ST-Ctrl,0.349430621633394,0.358778512014166,0.973945233430247,7.0,0.362529993362592,0.605389891828794,,0.0,0.0
A4GCT_MOUSE,ST-Ctrl,0.165515648086117,0.106939658198208,1.54774805600501,7.0,0.165608620977335,0.425091261048831,,0.0,0.0
AAKG1_MOUSE;AAKG2_MOUSE,ST-Ctrl,0.331947990133474,0.10307119810473,3.22056982199998,7.0,0.0146418350025479,0.159739933260316,,0.0,0.0
AAPK1_MOUSE;AAPK2_MOUSE,ST-Ctrl,0.819759334346603,0.156668598519369,5.23244186833812,0.0,,,,0.6,0.2
AB1IP_MOUSE,ST-Ctrl,0.599011090881447,0.453705989955438,1.32026269025075,3.0,0.278440980804805,0.545110472990219,,0.4,0.0
ABC8A_MOUSE,ST-Ctrl,-0.0579642066487707,0.208195664894947,-0.278412169043091,7.0,0.788740729909582,0.887517606365548,,0.0,0.0
ABCB7_MOUSE,ST-Ctrl,0.319672920456506,0.120694405849095,2.64861422704374,5.0,0.0455021899269252,0.240657957299654,,0.025,0.025
ABCBA_MOUSE,ST-Ctrl,-0.32196385732532,0.278092519506179,-1.15775806518293,4.0,0.311384766394915,0.572377494258745,,0.16,0.16
ABCBB_MOUSE,ST-Ctrl,0.335370232461044,0.11341152048579,2.95710903993272,7.0,0.0211918460930685,0.182249876400389,,0.0166666666666667,0.0166666666666667
ABHD5_MOUSE,ST-Ctrl,-0.159466124191425,0.225182932198898,-0.708162570911782,5.0,0.510482094530838,0.712729666484207,,0.0600000000000001,0.06
ABHDB_MOUSE,ST-Ctrl,,,,,,,,,
ABR_MOUSE;BCR_MOUSE,ST-Ctrl,0.254854866667958,0.166217278806091,1.53326337970718,5.0,0.185789100348809,0.447380153639933,,0.05,0.05
