,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1487,MYO1D_MOUSE,ST-Ctrl,0.0058826844462711,0.390637533200368,0.015059189008481,5.0,0.988567380749444,1.0,,0.686363636363636,0.486363636363636
1488,MYO1E_MOUSE,ST-Ctrl,-0.838418128726566,0.441940615479394,-1.89712848142978,3.0,0.154067073103797,0.7183002227931465,,0.53,0.23
1489,MYO5A_MOUSE,ST-Ctrl,0.669557753381673,0.447028751801031,1.49779572495974,7.0,0.177855920457016,0.7473189321383236,,0.4,0.4
1490,MYO5B_MOUSE,ST-Ctrl,1.92551806647452,0.0031332824067938,614.537030654966,0.0,,1.0,,0.625,0.025
1491,MYO6_MOUSE,ST-Ctrl,0.0390669655969589,0.490838624910488,0.0795922806687909,6.0,0.939149791829539,1.0,,0.423076923076923,0.423076923076923
1492,MYO7A_MOUSE,ST-Ctrl,-0.161504727706244,0.198424614683023,-0.813934944332601,4.0,0.461359025168997,1.0,,0.08,0.08
1493,MYOC_MOUSE,ST-Ctrl,1.25474851768207,0.762796000850236,1.64493326693309,4.0,0.175328820434597,0.742594111546917,,0.704347826086956,0.404347826086957
1494,MYOF_MOUSE,ST-Ctrl,-0.272993511552945,0.465923015233858,-0.585919782082289,6.0,0.579286481911735,1.0,,0.583333333333333,0.483333333333333
1495,MYOM1_MOUSE,ST-Ctrl,1.80220918962528,0.543206782346716,3.31772217909271,6.0,0.0160497642040234,0.3464238306341146,,0.584848484848485,0.484848484848485
1496,MYOM3_MOUSE,ST-Ctrl,2.36361629708836,0.732613678836627,3.22627923197084,6.0,0.0179944741816365,0.3636185849867705,,0.536538461538462,0.536538461538462
1497,MYOME_MOUSE,ST-Ctrl,-inf,,,,,1.0,oneConditionMissing,,
1498,MYOTI_MOUSE,ST-Ctrl,-0.681261170693959,0.556005686817699,-1.22527734310266,2.0,0.345183735825171,0.9200099131997365,,0.554545454545455,0.0545454545454545
1499,MYOZ2_MOUSE,ST-Ctrl,0.776165319596187,0.871175027612587,0.890940735208206,3.0,0.438597626164934,0.998811474330331,,0.183333333333333,0.0833333333333333
1500,MYOZ3_MOUSE,ST-Ctrl,1.82980854309846,0.79916793513009,2.28964209231018,2.0,0.149205800130968,0.7131436842603287,,0.52,0.32
1501,MYPC2_MOUSE,ST-Ctrl,1.77959226325516,0.513079433372216,3.4684537081496,3.0,0.0403916133359652,0.47712068982337036,,0.661538461538462,0.261538461538462
1502,MYPN_MOUSE,ST-Ctrl,inf,,,,,1.0,oneConditionMissing,0.733333333333333,0.0333333333333333
1503,MYPR_MOUSE,ST-Ctrl,0.79610700685191,0.373571292462248,2.13107115807718,0.0,,1.0,,0.6,0.0
1504,MYPT2_MOUSE,ST-Ctrl,,,,,,1.0,,,
1505,NAA10_MOUSE,ST-Ctrl,,,,,,1.0,,,
1506,NAA15_MOUSE,ST-Ctrl,0.605063956520554,0.337137566598508,1.79470939007256,2.0,0.214550901354588,0.7931641961804446,,0.325,0.125
1507,NAA25_MOUSE,ST-Ctrl,-0.554401802338476,0.448320349454063,-1.23661975864712,5.0,0.271143617944386,0.8505489971284853,,0.636,0.536
1508,NAA35_MOUSE,ST-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.757142857142857,0.157142857142857
1509,NAA50_MOUSE,ST-Ctrl,-0.789153861849607,0.216758985408813,-3.64069734115632,4.0,0.0219511169105426,0.4007438147883702,,0.5,0.4
1510,NAC1_MOUSE,ST-Ctrl,0.37819417270941,0.480328846582631,0.787365104969495,1.0,0.575381541484326,1.0,,0.425,0.025
1511,NACAD_MOUSE,ST-Ctrl,-2.75811957425332,0.60584240825716,-4.55253633067329,6.0,0.0038814117972336,0.21592963914509614,,0.529166666666667,0.529166666666667
1512,NACAM_MOUSE,ST-Ctrl,1.24526763177338,0.411843635915631,3.023641797948,3.0,0.056595407801419,0.5344828746030135,,0.311538461538462,0.211538461538462
1513,NAKD2_MOUSE,ST-Ctrl,0.036641905109767,0.320652083375963,0.114273092268684,3.0,0.916240068982825,1.0,,0.733333333333333,0.333333333333333
1514,NALD2_MOUSE,ST-Ctrl,0.922726118338706,0.370153901459609,2.49281748672692,4.0,0.0672812775979943,0.5523275763575838,,0.585,0.385
1515,NAR4_MOUSE,ST-Ctrl,0.378044165098257,0.573713070882049,0.65894291813334,2.0,0.57765325530515,1.0,,0.425,0.025
1516,NBEA_MOUSE,ST-Ctrl,1.11592167175222,0.736068641500799,1.51605653173449,4.0,0.204091756763858,0.7846406638264564,,0.56,0.26
1517,NCALD_MOUSE,ST-Ctrl,-0.361238020849054,0.42658942568512,-0.846804911464674,5.0,0.435749129360374,0.9986947142292476,,0.51,0.41
1518,NCAM2_MOUSE,ST-Ctrl,-0.277115124832716,0.287691565573605,-0.963236875854174,4.0,0.389975784652781,0.9546755558330468,,0.6,0.4
1519,NCBP3_MOUSE,ST-Ctrl,-0.528822918023889,0.234880144459939,-2.25145858641995,2.0,0.153195900443803,0.7169096577947311,,0.32,0.12
1520,NCDN_MOUSE,ST-Ctrl,-0.27510057542575,0.109374552264999,-2.51521555726437,1.0,0.240908786195424,0.8196930445977165,,0.5,0.1
1521,NCEH1_MOUSE,ST-Ctrl,-0.256543369770638,0.114378067585891,-2.2429419834182,0.0,,1.0,,0.6,0.0
1522,NCF1_MOUSE,ST-Ctrl,-inf,,,,,1.0,oneConditionMissing,,
1523,NCF2_MOUSE,ST-Ctrl,-2.50647802284268,0.399078643149631,-6.28066188423642,0.0,,1.0,,0.48,0.08
1524,NCHL1_MOUSE,ST-Ctrl,-0.269753803034583,0.242536192386435,-1.11222082106733,3.0,0.34715053286183,0.9226494034327296,,0.283333333333333,0.0833333333333333
1525,NCK2_MOUSE,ST-Ctrl,-0.489128079731658,0.189194897095708,-2.58531327874146,2.0,0.122681774397515,0.6813074029683261,,0.35,0.15
1526,NCLN_MOUSE,ST-Ctrl,0.594533334665698,0.223902770882645,2.65531923665792,1.0,0.229294466861962,0.8093018234724071,,0.633333333333333,0.0333333333333333
1527,NCOA7_MOUSE,ST-Ctrl,0.489144965147507,0.126715314552233,3.86018822488798,0.0,,1.0,,0.4,0.0
1528,NCPR_MOUSE,ST-Ctrl,-0.259241609802659,0.308496141542605,-0.84033987753087,3.0,0.462412684678035,1.0,,0.18,0.08
1529,NDE1_MOUSE,ST-Ctrl,-0.178802904664428,0.373508554456818,-0.478711672144847,7.0,0.646735012651123,1.0,,0.40625,0.40625
1530,NDRG1_MOUSE,ST-Ctrl,0.34779086593706,0.553163450615747,0.628730740525103,3.0,0.574138082371861,1.0,,0.583333333333333,0.183333333333333
1531,NDRG2_MOUSE,ST-Ctrl,1.37561520719865,0.808600847877445,1.70122899426782,2.0,0.231006262847354,0.8093036236145531,,0.45,0.05
1532,NDUAA_MOUSE,ST-Ctrl,0.680146165213665,0.346987441067677,1.96014634743223,3.0,0.144831525002813,0.7090791586201907,,0.383333333333333,0.0833333333333333
1533,NDUF2_MOUSE,ST-Ctrl,,,,,,1.0,,,
1534,NDUF4_MOUSE,ST-Ctrl,0.105908780128149,0.27114005353374,0.390605440796558,3.0,0.722174229970572,1.0,,0.32,0.02
1535,NDUF7_MOUSE,ST-Ctrl,-0.5722781019307,0.3887763622385,-1.47199819103104,2.0,0.278880798380829,0.8599225525497655,,0.55,0.25
