"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"ACINU_MOUSE","T2-T1",1.27835087586961,0.338210490927196,3.77974932819216,1,0.164656519363412,0.497669704592783,NA,0.448888888888889,0.226666666666667
"ACLY_MOUSE","T2-T1",-0.608937174915503,0.245001309282847,-2.48544457455329,2,0.13084838890933,0.482626378622403,NA,0.462962962962963,0.351851851851852
"ACOC_MOUSE","T2-T1",1.18903682342652,0.155280398615836,7.65735298225374,2,0.0166303951553759,0.370453994030931,NA,0.496296296296296,0.385185185185185
"ACON_MOUSE","T2-T1",-0.0665507499773355,0.000583761550339779,-114.003311692248,0,NA,NA,NA,0.433333333333333,0.1
"ACOX2_MOUSE","T2-T1",-1.09417866545862,0.373237362057098,-2.93158932275175,0,NA,NA,NA,0.444444444444444,0
"ACOX3_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACS2L_MOUSE","T2-T1",-0.394853758328782,0.469571645970435,-0.840880751035898,1,0.554890741302858,0.739534416252257,NA,0.513888888888889,0.180555555555556
"ACSA_MOUSE","T2-T1",0.392225206136974,0.349853073391078,1.12111407893373,0,NA,NA,NA,0.555555555555556,0.111111111111111
"ACSL3_MOUSE","T2-T1",0.22198405622358,0.239889809936845,0.925358423027726,0,NA,NA,NA,0.583333333333333,0.0277777777777778
"ACSL5_MOUSE","T2-T1",1.01720647092965,0.573401858413477,1.77398530542632,0,NA,NA,NA,0.555555555555556,0.111111111111111
"ACSL6_MOUSE","T2-T1",0.568409446008272,0.215270502748432,2.64044278594231,1,0.230476638057952,0.54502377704458,NA,0.474747474747475,0.252525252525253
"ACTBL_MOUSE","T2-T1",-0.315157372933942,0.188667544651987,-1.67043766597629,1,0.3434073174428,0.623714342975707,NA,0.477777777777778,0.255555555555556
"ACTH_MOUSE;ACTS_MOUSE","T2-T1",-0.920065231968356,0.379917204998217,-2.42175194980357,1,0.24929905850429,0.560025680321442,NA,0.515151515151515,0.292929292929293
"ACTN1_MOUSE","T2-T1",0.11965307335437,0.00091579676214021,130.654614976735,0,NA,NA,NA,0.666666666666667,0.222222222222222
"ACTN2_MOUSE","T2-T1",-1.90124570289081,0.545909057931531,-3.48271506996917,1,0.178005359483858,0.508047126802734,NA,0.515151515151515,0.292929292929293
"ACTN2_MOUSE;ACTN3_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTN3_MOUSE","T2-T1",-1.18587896151446,0.445550141186696,-2.66160607278889,0,NA,NA,NA,0.5,0.0555555555555556
"ACTN4_MOUSE","T2-T1",-0.00703208157497672,0.00191971756222465,-3.66308133725028,0,NA,NA,NA,0.422222222222222,0.0888888888888889
"ACTS_MOUSE","T2-T1",-0.224735578443693,0.0644005443088099,-3.48965340053733,1,0.177669548589446,0.508047126802734,NA,0.493055555555556,0.270833333333333
"ACTY_MOUSE;ACTZ_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ACY1_MOUSE","T2-T1",-0.842706500924574,0.185251206286891,-4.54899332541731,3,0.0199019827934419,0.370453994030931,NA,0.259259259259259,0.148148148148148
"ADA_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ADA10_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ADA17_MOUSE","T2-T1",0.246075119742869,0.0714961272129528,3.44179649073759,0,NA,NA,NA,0.555555555555556,0.111111111111111
"ADAS_MOUSE","T2-T1",0.932609567440858,0.240342486415837,3.88033585467394,2,0.0604542958066661,0.428072583805311,NA,0.4375,0.326388888888889
"ADDG_MOUSE","T2-T1",0.435326322041577,0.478990398981747,0.908841436001655,0,NA,NA,NA,0.527777777777778,0.0833333333333333
"ADH1_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADHX_MOUSE","T2-T1",0.177942048819191,0.417935387970995,0.425764493605266,1,0.743749081090599,0.852261992815212,NA,0.361111111111111,0.138888888888889
"ADPRH_MOUSE","T2-T1",-0.387321892141906,0.26368518698678,-1.46887997982733,2,0.279615232257294,0.587628886540719,NA,0.37037037037037,0.148148148148148
"ADPRS_MOUSE","T2-T1",0.155632163684687,0.0604815481097119,2.57321726293074,0,NA,NA,NA,0.583333333333333,0.0277777777777778
"ADRM1_MOUSE","T2-T1",-0.224430525464474,0.257674863785721,-0.870983386455215,0,NA,NA,NA,0.518518518518519,0.0740740740740741
