Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
AP180_MOUSE;PICAL_MOUSE,ST-LT,0.105425077280917,0.0776284164096026,1.3580732695183,7.0,0.216586193285931,0.424721026735941,,0.0,0.0
AP1S1_MOUSE,ST-LT,0.510195648466264,0.114498783880219,4.45590451860167,7.0,0.0029505715278053,0.0454543199484417,,0.0303030303030303,0.0303030303030303
AP1S1_MOUSE;AP1S2_MOUSE,ST-LT,0.073283113881169,0.188346614029494,0.389086441817815,7.0,0.708777185543149,0.835658330409418,,0.12962962962963,0.12962962962963
AP1S2_MOUSE,ST-LT,0.801659959908096,0.137189299015207,5.84345838678886,6.0,0.0011075461241345,0.0288802052379098,,0.111111111111111,0.0
AP2S1_MOUSE,ST-LT,0.134971076861761,0.142387329695442,0.947914938432064,7.0,0.374739861821941,0.586353406408536,,0.0757575757575758,0.0757575757575758
AP3B1_MOUSE;AP3B2_MOUSE,ST-LT,0.245652486204303,0.140414655507623,1.74947896511392,0.0,,,,0.583333333333333,0.0277777777777778
AP3M2_MOUSE,ST-LT,0.534126328511867,0.175949442835493,3.0356807040944,6.0,0.0229298073425404,0.111256569672718,,0.203703703703704,0.0925925925925926
AP3S1_MOUSE,ST-LT,0.413320932446364,0.116909903039806,3.53537999518855,7.0,0.009528748670839,0.0706737162997929,,0.0185185185185185,0.0185185185185185
AP3S2_MOUSE,ST-LT,-0.212185965446182,0.57093995026187,-0.371643226838233,7.0,0.721152731291295,0.843681849253746,,0.111111111111111,0.111111111111111
APBB1_MOUSE,ST-LT,0.926470222287519,0.223150674028124,4.15176976866651,5.0,0.0088947862284947,0.0678196305713238,,0.333333333333333,0.111111111111111
APC1_MOUSE,ST-LT,inf,,,,,0.0,oneConditionMissing,0.888888888888889,0.0
APC13_MOUSE,ST-LT,0.0278759017688691,0.222489394532851,0.125290923764698,5.0,0.905174976624375,0.948378093291589,,0.388888888888889,0.166666666666667
APC4_MOUSE,ST-LT,0.263616055523828,0.401221437424008,0.657033824554197,5.0,0.540193817714472,0.72434091137389,,0.444444444444444,0.222222222222222
APLP2_MOUSE,ST-LT,0.657919811153484,0.253797556188742,2.59230160066714,7.0,0.035824491591999,0.14670288805066,,0.342592592592593,0.342592592592593
APOC1_MOUSE,ST-LT,0.793902867798253,0.251606785626307,3.1553317046758,7.0,0.016032349317979,0.0915317186590136,,0.0740740740740741,0.0740740740740741
APOC3_MOUSE,ST-LT,-0.0859627094825344,0.35708782602565,-0.240732680358472,7.0,0.816660940619938,0.905744219181347,,0.0370370370370371,0.037037037037037
APOC4_MOUSE,ST-LT,-0.106295529423339,0.422439754224241,-0.251622931697177,7.0,0.808559884814171,0.902748156876199,,0.0,0.0
APOM_MOUSE,ST-LT,-0.337827769166236,0.212498623162444,-1.58978803786406,5.0,0.172752767594087,0.370326596306472,,0.148148148148148,0.037037037037037
APT_MOUSE,ST-LT,0.557314506949129,0.166754720553924,3.34212132105074,7.0,0.0123836278609692,0.0811956218585149,,0.273148148148148,0.273148148148148
AQP1_MOUSE,ST-LT,-0.207989143053414,0.441382669382772,-0.471221816081418,3.0,0.669631436277994,0.812271287677674,,0.407407407407407,0.0740740740740741
AQR_MOUSE,ST-LT,0.879044617229079,0.404503485653556,2.1731447278107,4.0,0.0954735822177102,0.259101785440286,,0.407407407407407,0.185185185185185
AR2BP_MOUSE,ST-LT,-0.241177374767568,0.422145532354568,-0.571313341686626,3.0,0.607783409413987,0.774632921888847,,0.574074074074074,0.12962962962963
