msqrob2_top_protein	msstats	top3	triqler
AACS_MOUSE	421.0	806.0	817
MBOA7_MOUSE	425.0	1478.0	2189
FABPH_MOUSE	978.0	1609.0	2695
CP51A_MOUSE	1535.0	1942.0	2733
CGT_MOUSE	1688.0	1974.0	2737
SERPH_MOUSE	1964.0	2386.0	3035
PKHG5_MOUSE		2865.0	3379
STEA3_MOUSE		3563.0	3500
GPX7_MOUSE			3760
LMF1_MOUSE			3811
