,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
43,ACADV_MOUSE,ST-LT,0.723394905422566,0.315929014609358,2.28973874500585,6.0,0.061966246601828,0.6629235394675549,,0.544444444444445,0.433333333333333
44,ACAP2_MOUSE,ST-LT,0.125280800112989,0.352497271972436,0.355409275685928,1.0,0.782603501062995,1.0,,0.733333333333333,0.0666666666666667
45,ACBD5_MOUSE,ST-LT,0.408418363176254,0.310425566548595,1.31567244192278,2.0,0.318861381404752,1.0,,0.466666666666667,0.0222222222222222
46,ACBG1_MOUSE,ST-LT,-0.295343882501847,0.479749435063641,-0.615621115765708,6.0,0.560755374052114,1.0,,0.54320987654321,0.432098765432099
47,ACE_MOUSE,ST-LT,1.012516275805,0.72357430420895,1.39932591568731,5.0,0.220593697769438,0.9125235218139249,,0.493827160493827,0.271604938271605
48,ACES_MOUSE,ST-LT,0.778548830564794,0.339796955241407,2.29121779508495,3.0,0.1058379427123,0.7614715771069984,,0.477777777777778,0.366666666666667
49,ACINU_MOUSE,ST-LT,0.174599096190961,0.397799929109877,0.438911833347096,5.0,0.679043559559713,1.0,,0.674897119341564,0.452674897119342
50,ACLY_MOUSE,ST-LT,-0.11998719870731,0.262257864715823,-0.457516112385518,5.0,0.6664934571876,1.0,,0.361111111111111,0.25
51,ACOC_MOUSE,ST-LT,0.738274482241396,0.324921242789332,2.27216440483723,6.0,0.0634787983629119,0.6650242854151147,,0.631944444444444,0.520833333333333
52,ACON_MOUSE,ST-LT,-0.387355897614818,0.798847715834299,-0.484893290594531,5.0,0.648248904783499,1.0,,0.666666666666667,0.444444444444444
53,ACOX2_MOUSE,ST-LT,-0.549770957758531,0.203143389876474,-2.70631969906986,0.0,,1.0,,0.444444444444444,0.0
54,ACOX3_MOUSE,ST-LT,-0.354535240351602,0.597305415480767,-0.593557719657102,0.0,,1.0,,0.777777777777778,0.0
55,ACS2L_MOUSE,ST-LT,-0.809324387870088,0.431151730361502,-1.87712197557808,2.0,0.201303285149491,0.8899052353590178,,0.736111111111111,0.291666666666667
56,ACSA_MOUSE,ST-LT,0.437445098242609,0.780852024181112,0.560215104393643,3.0,0.614444500657312,1.0,,0.444444444444444,0.111111111111111
57,ACSL3_MOUSE,ST-LT,0.596402122732371,0.112227613070759,5.31421908043561,1.0,0.118410875669339,0.7851864908947181,,0.537037037037037,0.0925925925925926
58,ACSL5_MOUSE,ST-LT,0.711917829028229,0.514262448275453,1.38434729468504,3.0,0.260254093127263,0.9581166902358847,,0.583333333333333,0.138888888888889
59,ACSL6_MOUSE,ST-LT,0.618951691111472,0.490063692221654,1.26300254627213,3.0,0.295826285957372,0.9999315400701602,,0.686868686868687,0.242424242424242
60,ACTBL_MOUSE,ST-LT,-0.239914481270026,0.150407204296366,-1.59509966555387,4.0,0.185919371010199,0.8846758222213353,,0.323232323232323,0.212121212121212
61,ACTH_MOUSE,ST-LT,,,,,,1.0,,,
62,ACTH_MOUSE;ACTS_MOUSE,ST-LT,-0.352820881831059,0.602128323193097,-0.585956295761082,4.0,0.589373395636777,1.0,,0.555555555555556,0.333333333333333
63,ACTN1_MOUSE,ST-LT,-0.334977843313494,0.204592130867406,-1.63729583290078,2.0,0.243219371652855,0.9398520594507767,,0.555555555555556,0.333333333333333
64,ACTN2_MOUSE,ST-LT,0.122181010731238,0.701319630915831,0.174215871544457,4.0,0.870157763143814,1.0,,0.351851851851852,0.12962962962963
65,ACTN2_MOUSE;ACTN3_MOUSE,ST-LT,-0.39331005900445,0.313560458929652,-1.25433564023674,2.0,0.336447172315279,1.0,,0.244444444444444,0.0222222222222222
66,ACTN3_MOUSE,ST-LT,-0.1162410820903,0.847026995856506,-0.137234211729885,1.0,0.913176333327818,1.0,,0.583333333333333,0.138888888888889
67,ACTN4_MOUSE,ST-LT,0.179860428112619,0.276336417354954,0.650874864175387,3.0,0.561534180393781,1.0,,0.577777777777778,0.133333333333333
