top3_top_protein	msstats	msqrob2	triqler
PNPH_MOUSE	52.0	7.0	19
PCNA_MOUSE	183.0	11.0	35
DCUP_MOUSE	514.0	27.0	331
HEM6_MOUSE	856.0	46.0	784
DOHH_MOUSE	1916.0	63.0	811
LEG9_MOUSE	2499.0	126.0	1289
PRS4_MOUSE		835.0	1450
DESM_MOUSE;VIME_MOUSE		1494.0	2682
AN32E_MOUSE		1972.0	4587
CTNB1_MOUSE			5563
