msstats_top_protein	msqrob2	top3	triqler
KPB1_MOUSE	33	308.0	55
KIF3B_MOUSE	226	867.0	128
MK12_MOUSE	614	1311.0	252
YES_MOUSE	979	3253.0	265
IGJ_MOUSE	1351	3256.0	301
UBP19_MOUSE	1549	3413.0	925
AL3A2_MOUSE	2069		1071
ATX2_MOUSE	3384		1457
PTPRC_MOUSE	4140		3045
PRG2_MOUSE	5125		3846
