Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
NUDC2_MOUSE,ST-Ctrl,-0.744855723129358,0.29181659413994,-2.55247898196004,7.0,0.0379659907149663,0.179205670409398,,0.1,0.1
NUDC3_MOUSE,ST-Ctrl,-0.290112231947793,0.448326751507356,-0.647099980031045,7.0,0.538200622148426,0.710710636644555,,0.296428571428571,0.296428571428571
NUDT4_MOUSE,ST-Ctrl,0.0650058732336305,0.239689803469057,0.271208337996833,7.0,0.794054493076143,0.884698333364086,,0.0083333333333333,0.0083333333333333
NUDT7_MOUSE,ST-Ctrl,-0.122717072642264,0.213694989481171,-0.574262751504881,7.0,0.583763832900647,0.744341594283999,,0.0,0.0
NUDT9_MOUSE,ST-Ctrl,-0.103076793972119,0.14798569821773,-0.696532132587992,7.0,0.50855727328722,0.690025617896781,,0.0833333333333334,0.0833333333333333
NUMB_MOUSE,ST-Ctrl,-0.605299666277466,0.485906395709608,-1.24571249035218,7.0,0.252946198004901,0.480816784539611,,0.2,0.2
NUMBL_MOUSE,ST-Ctrl,-0.171870651564287,0.19897156563485,-0.863795040341099,7.0,0.41631407464811,0.620733656100187,,0.128571428571429,0.128571428571429
NUP35_MOUSE,ST-Ctrl,0.0761512901603666,0.373347268852297,0.20396905646173,7.0,0.844180868831228,0.916943728430176,,0.5,0.5
NUP37_MOUSE,ST-Ctrl,-0.162398603071927,0.0531619239041668,-3.05479168445216,1.0,0.201401060177929,0.429809925360562,,0.5,0.0
NUP43_MOUSE,ST-Ctrl,-0.542727762812038,0.21158000384807,-2.56511840883488,7.0,0.0372722824943326,0.178758818537864,,0.04,0.04
NUP58_MOUSE,ST-Ctrl,-0.46497846234722,0.176432422791593,-2.63544792385731,7.0,0.0336452217982024,0.171301540599623,,0.2,0.2
NUP85_MOUSE,ST-Ctrl,-0.290230537654873,0.199225714525335,-1.45679255484846,6.0,0.195433102020073,0.424556309770596,,0.333333333333333,0.333333333333333
NUP88_MOUSE,ST-Ctrl,-0.674924127824875,0.268850364137185,-2.51040808514764,7.0,0.040372815567659,0.184325067796607,,0.273913043478261,0.273913043478261
NUP98_MOUSE,ST-Ctrl,-0.177349820130223,0.210741795805855,-0.841550293581087,7.0,0.427849805570446,0.628103095369361,,0.177777777777778,0.177777777777778
NVL_MOUSE,ST-Ctrl,-inf,,,,,0.0,oneConditionMissing,,
NXP20_MOUSE,ST-Ctrl,-0.408886049901791,0.231376870626616,-1.76718636047952,7.0,0.120530747399841,0.331245272031607,,0.214814814814815,0.214814814814815
OARD1_MOUSE,ST-Ctrl,0.0879993083096748,0.0804083553647935,1.09440502682144,0.0,,,,0.7,0.0
OFUT1_MOUSE,ST-Ctrl,0.0018551826024783,0.0051314152294695,0.361534297950428,0.0,,,,0.7,0.0
OGFR_MOUSE,ST-Ctrl,-0.430776013481868,0.127735095050047,-3.37241705823359,5.0,0.0198373717347469,0.129643963663995,,0.42,0.42
OLFL3_MOUSE,ST-Ctrl,0.422212419810135,0.354284312773354,1.19173331865878,2.0,0.355605932764437,0.574720642799007,,0.690909090909091,0.290909090909091
OPA3_MOUSE,ST-Ctrl,0.154826373969169,0.10382840725815,1.49117546977507,7.0,0.17953970275886,0.408555447374809,,0.0,0.0
OS9_MOUSE,ST-Ctrl,-0.683307693128046,0.235167505601025,-2.90562121404355,7.0,0.022802421504873,0.139264789234805,,0.1,0.1
OSB10_MOUSE,ST-Ctrl,0.167660015889379,0.16166282755329,1.03709689126965,7.0,0.334182530264603,0.557304399273604,,0.3,0.3
OSBL2_MOUSE,ST-Ctrl,-0.229403549018025,0.185531253485995,-1.23646849092917,7.0,0.256158679746544,0.482483782429498,,0.3,0.3
OSBL3_MOUSE;OSBL6_MOUSE,ST-Ctrl,0.106586426103637,0.20305941961067,0.524902643314936,1.0,0.692276669169938,0.822705519622216,,0.5,0.0
OSBL5_MOUSE,ST-Ctrl,-0.347513266663958,0.219799648058964,-1.58104560099538,5.0,0.174708787581214,0.401791953685916,,0.2,0.2
OSBL8_MOUSE,ST-Ctrl,-0.190721987053065,0.218895016958455,-0.871294329597568,7.0,0.412476151809487,0.617655129639392,,0.170588235294118,0.170588235294118
OSBL9_MOUSE,ST-Ctrl,0.0166606393412806,0.0792172484047192,0.210315804661148,7.0,0.839411996738231,0.913902428035955,,0.025,0.025
OSCP1_MOUSE,ST-Ctrl,0.633499968895285,0.584529882313345,1.08377687448268,6.0,0.320081386025755,0.544680618597922,,0.588888888888889,0.488888888888889
OSGEP_MOUSE,ST-Ctrl,-0.34185441490221,0.190290795227963,-1.79648424135638,7.0,0.115477059456852,0.323870705526014,,0.24375,0.24375
OSTC_MOUSE,ST-Ctrl,-0.0293698998730974,0.220033641938841,-0.133479133528412,7.0,0.897570810959272,0.948306035099231,,0.272727272727273,0.272727272727273
OTU6B_MOUSE,ST-Ctrl,-0.193051003687873,0.290014470510335,-0.665659900859992,7.0,0.526946900836442,0.705263757677172,,0.0666666666666667,0.0666666666666667
OTU7B_MOUSE,ST-Ctrl,0.579653572273472,0.169028187488255,3.42933081687189,7.0,0.0109951938706039,0.0962943865711692,,0.17,0.17
OX2G_MOUSE,ST-Ctrl,0.355267532596868,0.0894025838025163,3.97379491158363,7.0,0.0053662308515611,0.0718094931576595,,0.0,0.0
OXSM_MOUSE,ST-Ctrl,-0.233048254940675,0.276316859516367,-0.843409466033218,7.0,0.426876998555049,0.627694002627144,,0.335294117647059,0.335294117647059
OXSR1_MOUSE;STK39_MOUSE,ST-Ctrl,0.395135132184262,0.496305762051774,0.796152618802443,7.0,0.452093748084524,0.649630644314745,,0.283333333333333,0.283333333333333
P2RX4_MOUSE,ST-Ctrl,0.149212749047985,0.239573811276857,0.622825793239778,5.0,0.560701607700646,0.725966516711436,,0.266666666666667,0.166666666666667
P33MX_MOUSE,ST-Ctrl,-0.202804037732077,0.0749704319748093,-2.70512030396492,4.0,0.0538082713972978,0.213470136526317,,0.2,0.1
P4HA2_MOUSE,ST-Ctrl,0.303744652963752,0.474648428166994,0.639936076764771,2.0,0.587739723187582,0.747422433368684,,0.466666666666667,0.166666666666667
P4HTM_MOUSE,ST-Ctrl,-0.60863251666858,0.513526293169932,-1.1852022472142,2.0,0.357678051456295,0.575665113499158,,0.48,0.08
P66B_MOUSE,ST-Ctrl,-0.44179475773421,0.317020747766877,-1.39358310409099,1.0,0.396247394861738,0.605680019039484,,0.58,0.18
P85A_MOUSE,ST-Ctrl,-0.173431367700334,0.192913025361725,-0.899013259343885,7.0,0.398514053546625,0.607145316809273,,0.0333333333333333,0.0333333333333333
P85A_MOUSE;P85B_MOUSE,ST-Ctrl,-0.237911662221536,0.157577287716859,-1.50980934923201,7.0,0.174837082290034,0.401791953685916,,0.02,0.02
PA1B2_MOUSE,ST-Ctrl,0.0262375482243868,0.156245398793842,0.167925253651827,7.0,0.87139074948261,0.933498318059748,,0.075,0.075
