triqler_top_protein	msstats	msqrob2	top3
TRFL_MOUSE	20.0	0	1.0
PERM_MOUSE	21.0	7	3.0
PERE_MOUSE	38.0	9	16.0
URP2_MOUSE	52.0	11	26.0
HEM6_MOUSE	80.0	12	3392.0
CHIL3_MOUSE	156.0	29	3471.0
ELNE_MOUSE	1869.0	69	3487.0
NGP_MOUSE	2376.0	77	
GDIR2_MOUSE	2499.0	4928	
PCNA_MOUSE		5098	
