Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
SWAHB_MOUSE,ST-LT,-0.821090713516204,0.437384796665341,-1.87727310088569,4.0,0.13370194274491,0.372252628044359,,0.4,0.177777777777778
SWAHC_MOUSE,ST-LT,0.342495669275676,0.348262376414579,0.983441486851745,1.0,0.505314617070356,0.722505744407428,,0.555555555555556,0.111111111111111
SYAM_MOUSE,ST-LT,,,,,,,,,
SYAP1_MOUSE,ST-LT,0.411506215633805,0.291125321122027,1.41350197244203,7.0,0.200400672461397,0.449295601773256,,0.111111111111111,0.111111111111111
SYDM_MOUSE,ST-LT,-0.0690845955741859,0.21647352628004,-0.319136463295817,6.0,0.760441411576421,0.883217017885429,,0.25,0.138888888888889
SYLM_MOUSE,ST-LT,-0.0923218873844718,0.377663771099293,-0.244455238890783,4.0,0.818905868041066,0.918882918229201,,0.444444444444444,0.111111111111111
SYMPK_MOUSE,ST-LT,-0.618418764010074,0.564797964901581,-1.0949380175579,6.0,0.315538712410468,0.571045688654793,,0.0555555555555556,0.0555555555555556
SYN1_MOUSE;SYN2_MOUSE,ST-LT,-0.0828516069387193,0.263502947332662,-0.314423833878877,7.0,0.762363339655463,0.883556344202828,,0.0,0.0
SYNE2_MOUSE,ST-LT,0.189579985089523,0.228561438516943,0.829448687056061,7.0,0.434220561711447,0.677737164931209,,0.166666666666667,0.166666666666667
SYNRG_MOUSE,ST-LT,-0.609884726161493,0.236370621731375,-2.58020527971789,7.0,0.0364614086254207,0.188193189811028,,0.0740740740740741,0.0740740740740741
SYPL1_MOUSE,ST-LT,-1.33753697553295,0.464221140287978,-2.88124960165151,6.0,0.0280119484101191,0.162837134444682,,0.166666666666667,0.0555555555555556
SYT1_MOUSE;SYT2_MOUSE,ST-LT,0.479881226244483,0.320476906173532,1.49739721334128,7.0,0.177956869199867,0.429124444201088,,0.0222222222222223,0.0222222222222222
SYT7_MOUSE,ST-LT,0.692500357798547,0.324964974156163,2.13099999345088,0.0,,,,0.444444444444444,0.0
T229A_MOUSE,ST-LT,inf,,,,,0.0,oneConditionMissing,0.777777777777778,0.0
T22D1_MOUSE,ST-LT,-1.23874994465098,0.490111103905733,-2.52748802216331,7.0,0.0393772172605842,0.19390037176137,,0.0277777777777778,0.0277777777777778
T22D3_MOUSE,ST-LT,-0.337075807387231,0.37395863318457,-0.901371909819942,2.0,0.462522895994178,0.693182100637108,,0.694444444444444,0.138888888888889
T2FA_MOUSE,ST-LT,-0.27541066074274,0.187652481832826,-1.46766330001484,6.0,0.192569686942805,0.443721441378827,,0.259259259259259,0.148148148148148
TA2R_MOUSE,ST-LT,0.906992201672844,0.294941365708855,3.07516105614077,5.0,0.0276211590210034,0.162203847108035,,0.388888888888889,0.166666666666667
TACAN_MOUSE,ST-LT,0.565409440089293,0.354757850693954,1.59378978924152,6.0,0.162092175537795,0.407353917126643,,0.355555555555556,0.244444444444444
TACC2_MOUSE,ST-LT,-0.364704649122814,0.261238910750195,-1.39605791524508,5.0,0.221516137084914,0.476657625825946,,0.277777777777778,0.0555555555555556
TANC1_MOUSE,ST-LT,0.2651981824603,0.346189412516292,0.766049373181854,2.0,0.523708666499881,0.73872630246953,,0.555555555555556,0.111111111111111
TAOK2_MOUSE,ST-LT,0.0368725174969987,0.388769884869444,0.0948440682574504,3.0,0.930418627202243,0.965451665764501,,0.444444444444444,0.111111111111111
TAOK3_MOUSE,ST-LT,0.423848986710906,0.262607478463404,1.61400196670322,4.0,0.181826162232233,0.432628374342115,,0.533333333333333,0.2
TAXB1_MOUSE,ST-LT,inf,,,,,0.0,oneConditionMissing,0.472222222222222,0.0277777777777778
TBA1C_MOUSE;TBA8_MOUSE,ST-LT,0.252118650950972,0.46209484477333,0.54559935866552,7.0,0.602285713095141,0.780088560389709,,0.0370370370370371,0.037037037037037
TBB1_MOUSE;TBB2A_MOUSE;TBB2B_MOUSE;TBB3_MOUSE;TBB4A_MOUSE;TBB4B_MOUSE;TBB5_MOUSE;TBB6_MOUSE,ST-LT,0.0252528389308715,0.249102171249709,0.101375426814554,7.0,0.922095117685661,0.959612550141225,,0.0,0.0
TBB2A_MOUSE;TBB2B_MOUSE;TBB4B_MOUSE,ST-LT,0.389995501838742,0.822391908653902,0.474220986046774,0.0,,,,0.583333333333333,0.0277777777777778
TBB2A_MOUSE;TBB2B_MOUSE;TBB5_MOUSE,ST-LT,0.278461732642348,0.349766430918391,0.796136244153516,7.0,0.452102662064839,0.688730636351169,,0.0,0.0
TBB3_MOUSE;TBB4A_MOUSE,ST-LT,-0.0568389309174566,0.0930030079449466,-0.611151533411721,7.0,0.560413312483425,0.760655333335404,,0.0,0.0
TBB3_MOUSE;TBB5_MOUSE;TBB6_MOUSE,ST-LT,0.152489987123535,0.0699344164521113,2.1804712880954,7.0,0.0655950560794518,0.251841422260202,,0.0,0.0
TBCD4_MOUSE,ST-LT,-0.227168756408449,0.387252569400151,-0.586616524611653,2.0,0.616853846413201,0.786042307856718,,0.577777777777778,0.133333333333333
