specie	ProteinName	ST	LT	p	q	log2(A,B)
MOUSE	ABI2_MOUSE	21.41648008041737	20.851617786675774	0.20676939957798068	0.39967220854152674	0.5648622937415944
MOUSE	ABLM1_MOUSE	23.09988364038903	22.59611454991878	0.6247822938342622	0.765424096575333	0.5037690904702501
MOUSE	ABLM2_MOUSE	23.02452914235247	22.427765550346916	0.44598764654613376	0.6293250393466737	0.596763592005555
MOUSE	ABRAL_MOUSE	22.519897073055706	21.79300124633077	0.037494283706212356	0.15337692460895638	0.7268958267249346
MOUSE	ABR_MOUSE	22.380991280084537	22.018116122793412	0.8621649153504016	0.9070055131918815	0.36287515729112485
MOUSE	ACACA_MOUSE	24.048181482767085	22.893658961652225	0.0004634578658617012	0.019257900109134158	1.1545225211148598
MOUSE	ACACA_MOUSE;ACACB_MOUSE	22.99773041666826	22.195678690516136	0.019475406334974268	0.10569066765277553	0.8020517261521256
MOUSE	ACAD8_MOUSE	23.07830228282246	22.760730415108707	0.9616947485872085	0.9526452280291337	0.31757186771375245
MOUSE	ACAD9_MOUSE	24.369365209522538	23.93802954182826	0.6519528033349777	0.7819474406143629	0.43133566769427745
MOUSE	ACADL_MOUSE	26.630422208511657	26.471602122659185	0.3590812413051008	0.5583122099267884	0.1588200858524722
MOUSE	ACADM_MOUSE	25.829207423866176	25.39941779746032	0.6116687031289658	0.7548827670876131	0.4297896264058565
MOUSE	ACADS_MOUSE	24.962330190266993	24.533221738941737	0.6256526732695045	0.765424096575333	0.42910845132525566
MOUSE	ACADV_MOUSE	25.222015865322355	24.759348842158126	0.31338985611102976	0.5133223454327004	0.46266702316422936
MOUSE	ACBD5_MOUSE	21.959478499676973	21.117512360190617	0.15448851305072794	0.34093283031756044	0.841966139486356
MOUSE	ACBG1_MOUSE	22.273127141885	21.944283255424132	0.9789431102488313	0.960989533881901	0.3288438864608665
MOUSE	ACBP_MOUSE	27.74816510172172	27.330910673907262	0.1374345199764109	0.3193659697116821	0.4172544278144592
MOUSE	ACD10_MOUSE	22.762001214704828	22.08117165767256	0.1429770452583646	0.326716102224508	0.6808295570322684
MOUSE	ACDSB_MOUSE	22.728237058269166	21.946935692832863	0.0007411608739438031	0.02266588350361481	0.7813013654363026
MOUSE	ACES_MOUSE	20.84923806198086	20.326904347559587	0.5775554239123928	0.7345632749940237	0.5223337144212721
MOUSE	ACE_MOUSE	22.841155853320775	21.640627588680037	0.00975444075099159	0.07818409578585828	1.200528264640738
MOUSE	ACINU_MOUSE	21.32162480889197	20.74432048046468	0.4385492227355512	0.6249724224522877	0.5773043284272887
MOUSE	ACL6A_MOUSE	22.007321381508504	21.516349083635532	0.11956114675893403	0.2985924606313102	0.4909722978729718
MOUSE	ACLY_MOUSE	26.629543789917278	26.322979609081504	0.9113207039644176	0.9339550755198617	0.30656418083577464
MOUSE	ACO11_MOUSE	21.736244408926932	20.742974776479123	0.010695052870206449	0.08126954295414444	0.9932696324478094
MOUSE	ACOC_MOUSE	23.38455306719959	22.41317647908673	0.0004371528262928705	0.018815498992099545	0.9713765881128609
MOUSE	ACON_MOUSE	27.786446159213668	27.294340583495128	0.4401467740973797	0.6260424204201055	0.49210557571853997
MOUSE	ACOT1_MOUSE	24.10772195948557	24.027515125241273	0.06630828824139348	0.21194498098236772	0.0802068342442972
MOUSE	ACOT1_MOUSE;ACOT2_MOUSE	23.83180219908704	23.452682312795805	0.6173715737512935	0.7598051649257367	0.3791198862912353
MOUSE	ACOT9_MOUSE	23.576242559400704	23.119691978710268	0.23741741530854943	0.4331179704698795	0.4565505806904362
MOUSE	ACOX1_MOUSE	23.581315493491445	23.274326022513844	0.9616548119578833	0.9526452280291337	0.30698947097760154
MOUSE	ACOX3_MOUSE	21.770105371556795	21.43988819159009	0.9678490249989342	0.956641063561318	0.33021717996670574
MOUSE	ACPM_MOUSE	24.565102663214727	24.117562661835294	0.5745329127909267	0.731898151931049	0.4475400013794335
MOUSE	ACS2L_MOUSE	20.413058010952064	20.770849580576225	0.11038303038368205	0.28560390189996293	-0.3577915696241618
MOUSE	ACSA_MOUSE	23.05172941100253	22.343631554140405	0.018147188427139083	0.10215479389330735	0.7080978568621248
MOUSE	ACSF2_MOUSE	23.023077646258177	22.54068920195734	0.3457366607155756	0.5429322345064389	0.48238844430083816
MOUSE	ACSF3_MOUSE	20.663308661100608	20.41022244779696	0.7282875381402896	0.8348213360143965	0.25308621330364645
MOUSE	ACSL1_MOUSE	25.055698358039105	24.402568335973147	0.24624658947015987	0.44310369125648646	0.6531300220659588
MOUSE	ACSL3_MOUSE	21.96734359492368	21.715093449749393	0.6491786372488088	0.7803984742431376	0.2522501451742869
MOUSE	ACSL4_MOUSE	22.302060951415232	21.564963883818102	0.012859033758895336	0.08701700282900526	0.73709706759713
MOUSE	ACSL6_MOUSE	23.31521248043563	22.78011742655641	0.2974445826072701	0.4986371341379985	0.5350950538792212
MOUSE	ACTBL_MOUSE	26.266859000898755	25.950919062007596	0.9529003035104169	0.9510613226326574	0.3159399388911588
MOUSE	ACTBL_MOUSE;ACTH_MOUSE;ACTS_MOUSE	30.987271470169873	30.582842246198098	0.8070381666291814	0.8773243872611075	0.40442922397177483
MOUSE	ACTB_MOUSE;ACTG_MOUSE	29.808837078807542	29.108684087726477	0.04542632420985407	0.17175432292987725	0.7001529910810653
MOUSE	ACTH_MOUSE	25.606117752035793	25.192030763981727	0.8217265525051232	0.8847667754822207	0.4140869880540663
MOUSE	ACTH_MOUSE;ACTS_MOUSE	31.94263761729252	31.722924807308658	0.7332718255090533	0.8368894706405171	0.21971280998386078
MOUSE	ACTN1_MOUSE	23.95539131297035	23.56481178694197	0.7588036313651629	0.8549063981207953	0.39057952602837887
MOUSE	ACTN1_MOUSE;ACTN2_MOUSE	27.11050009136721	26.812764995334266	0.9549386080043364	0.9510613226326574	0.29773509603294457
MOUSE	ACTN1_MOUSE;ACTN2_MOUSE;ACTN3_MOUSE	26.095991043214905	26.14449108951049	0.37924112354622386	0.5766219793150908	-0.04850004629558313
MOUSE	ACTN1_MOUSE;ACTN2_MOUSE;ACTN3_MOUSE;ACTN4_MOUSE	28.17635383343822	27.849749735509246	0.9897763608139205	0.9645710079530135	0.3266040979289748
MOUSE	ACTN1_MOUSE;ACTN2_MOUSE;ACTN4_MOUSE	25.199686531580383	24.84690958208551	0.9348169885480769	0.9431798701654163	0.35277694949487426
MOUSE	ACTN1_MOUSE;ACTN4_MOUSE	25.60142071173597	24.961152580825402	0.11103609537953324	0.2863897951016942	0.6402681309105667
MOUSE	ACTN2_MOUSE	27.04342951281564	26.85732861629461	0.8000577881673764	0.8727403463778269	0.18610089652102957
MOUSE	ACTN2_MOUSE;ACTN3_MOUSE	25.33032084674194	25.203399304341957	0.6961728070851285	0.8136618903126264	0.12692154239998388
MOUSE	ACTN3_MOUSE	28.02043109675345	28.146131619356517	0.32523318855598876	0.5251512288617047	-0.12570052260306852
MOUSE	ACTN4_MOUSE	25.413568196851255	24.850284882685482	0.056045891307633516	0.19014789140010147	0.5632833141657727
MOUSE	ACTS_MOUSE	29.27172859216859	28.135979684550627	0.1537053142234862	0.3403471786811676	1.1357489076179625
MOUSE	ACTY_MOUSE	22.91987734058228	22.18199999806292	0.0054459031571462615	0.05918504605780011	0.7378773425193579
MOUSE	ACTY_MOUSE;ACTZ_MOUSE	24.48884247622957	23.677037066479155	0.011918564160815957	0.0839632635847812	0.8118054097504164
MOUSE	ACTZ_MOUSE	24.68358286365887	24.011797975604484	0.07533522884865287	0.22919916065686272	0.6717848880543862
MOUSE	ACY1_MOUSE	22.151830064223024	21.72305495004226	0.3553789084224592	0.5539422268437881	0.42877511418076253
MOUSE	ACY2_MOUSE	24.676144862211842	24.32278219736345	0.7940712434789458	0.8679384956502149	0.35336266484839385
MOUSE	ACYP1_MOUSE	23.87195575647952	23.589868844128393	0.7898693061237292	0.8667157978400869	0.2820869123511258
MOUSE	ACYP2_MOUSE	25.6235123097407	25.59895704914045	0.0237521454435868	0.11852410732257912	0.024555260600251927
MOUSE	ADA10_MOUSE	25.312720023349662	24.79962093394874	0.1584353329881973	0.346015865512885	0.5130990894009209
MOUSE	ADA11_MOUSE	20.48007059423623	20.395639820672855	0.29725115938483565	0.4986371341379985	0.08443077356337625
MOUSE	ADA17_MOUSE	21.375232722753665	20.67449177853255	0.14887375481077014	0.3348009578454696	0.700740944221117
MOUSE	ADA22_MOUSE	22.840667822522015	22.3171249797825	0.09404167892374886	0.25928684256367013	0.5235428427395163
MOUSE	ADA23_MOUSE	23.39646885438912	22.85966478191611	0.20797274224715423	0.40096344931864825	0.5368040724730108
MOUSE	ADAS_MOUSE	22.668868816433992	21.5207536890963	0.0006845667257128817	0.02266588350361481	1.148115127337693
MOUSE	ADDA_MOUSE	25.071381336206972	24.69270629403858	0.7417945598809763	0.8444801618649316	0.37867504216839265
MOUSE	ADDB_MOUSE	24.402740548950927	23.90761614170393	0.49390074536521833	0.6688621762311419	0.4951244072469976
MOUSE	ADDG_MOUSE	24.671453818782847	24.27017925184887	0.6235689539343384	0.7650471585370303	0.4012745669339779
MOUSE	ADH1_MOUSE	22.87598757663055	23.539770504455497	0.27971191913541754	0.4831448432774057	-0.663782927824947
MOUSE	ADHX_MOUSE	25.36332352770077	25.132570521721775	0.26010558274741535	0.4586341110645578	0.23075300597899684
MOUSE	ADIPO_MOUSE	23.212167334593428	21.984533926977846	0.009127136600279464	0.07545420575486536	1.2276334076155813
MOUSE	ADK_MOUSE	24.480651246222667	24.217835929971336	0.6116986647915341	0.7548827670876131	0.2628153162513307
MOUSE	ADPGK_MOUSE	23.07422804496898	22.48912978628617	0.36791347415582554	0.5673198841925154	0.5850982586828088
MOUSE	ADPRH_MOUSE	23.25815111782114	22.69327650406773	0.05479544484859715	0.1878871554319914	0.5648746137534104
MOUSE	ADPRS_MOUSE	22.183001026403584	21.986618760147138	0.40968700266644686	0.6033189250495011	0.19638226625644606
MOUSE	ADRO_MOUSE	20.40289633010284	20.107509778063555		1.0	0.295386552039286
MOUSE	ADT1_MOUSE	28.18487132091207	27.467920606033424	0.03782536615250907	0.15453110543050094	0.7169507148786458
MOUSE	ADT1_MOUSE;ADT2_MOUSE	25.381300890352186	25.444171264795994	0.06188071642626142	0.2022974792426036	-0.06287037444380772
MOUSE	ADT2_MOUSE	26.948969907429642	26.174190998228564	0.043399873754477764	0.16693891002773167	0.7747789092010784
MOUSE	AEBP1_MOUSE	21.76439938967482	21.20119166218342	0.3001875961238919	0.5018489844499633	0.5632077274914025
MOUSE	AEDO_MOUSE	23.605308225260718	22.82551162058247	0.008039366188691088	0.07091711324122663	0.7797966046782463
MOUSE	AF1L2_MOUSE	20.809848921362903	19.376094850242136	0.004158639285436061	0.05194293404092251	1.4337540711207666
MOUSE	AFAD_MOUSE	20.398164364642753	20.022499145385176	0.8799545055907316	0.916878355700936	0.3756652192575771
MOUSE	AFAM_MOUSE	23.95948540357012	23.30456908699182	0.1893817255284094	0.38337671821591307	0.6549163165783014
MOUSE	AFG32_MOUSE	22.824408566225237	22.259334191117382	0.14776432310062454	0.33403344944603147	0.5650743751078551
MOUSE	AGAP3_MOUSE	21.51009976413245	21.482328135025796	0.6256691576142314	0.765424096575333	0.02777162910665254
MOUSE	AGK_MOUSE	23.090649072328823	21.964905028589417	0.0011673724507469047	0.02949250702422064	1.125744043739406
MOUSE	AGM1_MOUSE	21.720134985616625	21.374328471929562	0.8948172563754994	0.9255108696315465	0.3458065136870623
MOUSE	AGO1_MOUSE;AGO2_MOUSE;AGO3_MOUSE	22.408816836910074	21.957928639166305	0.3372841875050836	0.5357866220624613	0.45088819774376887
MOUSE	AGO2_MOUSE	21.805290415440517	21.413659459177122	0.7137365375902802	0.8250295411025519	0.39163095626339484
MOUSE	AGRIN_MOUSE	23.606553450964366	23.62675794291467	0.026453395861026636	0.12567680820696825	-0.020204491950302383
MOUSE	AHSA1_MOUSE	25.024945625876192	24.573675537418747	0.534230685826965	0.7035450563786945	0.451270088457445
MOUSE	AIF1L_MOUSE	23.904139829676804	23.181539664426353	0.004161354690021112	0.05194293404092251	0.7226001652504515
MOUSE	AIFM1_MOUSE	24.119975910023413	23.583192296486942	0.1922138482887039	0.38550266777615666	0.5367836135364712
MOUSE	AIMP1_MOUSE	24.65066613841403	24.252123743680436	0.6617361995030373	0.7890100402899172	0.398542394733596
MOUSE	AIMP2_MOUSE	23.832806309490124	23.310426672330184	0.2848532227581744	0.4879805447186659	0.5223796371599398
MOUSE	AINX_MOUSE	25.199370784446508	25.3101344660219	0.11150336000783256	0.28698265972089393	-0.11076368157539207
MOUSE	AINX_MOUSE;NFH_MOUSE;NFL_MOUSE;NFM_MOUSE	26.651610958902562	26.055340297020468	0.5641362239604653	0.7253296703830405	0.5962706618820945
MOUSE	AINX_MOUSE;NFL_MOUSE;NFM_MOUSE	22.98634249538431	22.556282895748105		1.0	0.43005959963620555
MOUSE	AIP_MOUSE	23.097292761500672	22.37884802729541	0.11343052216113182	0.2905220628575034	0.7184447342052636
MOUSE	AK1A1_MOUSE	25.0602704203656	25.055126371985775	0.017993653785913874	0.10165291023640252	0.005144048379825961
MOUSE	AKA12_MOUSE	25.111119348895517	24.457969515358855	0.38858075158107996	0.5851876041014424	0.6531498335366628
MOUSE	AKAP2_MOUSE	21.670340593788296	21.445214824727177	0.7335967576508235	0.8369578400628863	0.22512576906111903
MOUSE	AKCL2_MOUSE	21.714218751471567	21.425994719336384	0.7932443241604292	0.8679384956502149	0.288224032135183
MOUSE	AKT1_MOUSE	21.37542720082457	20.775683729348426	0.08627784433452769	0.24820572073545333	0.5997434714761454
MOUSE	AKT3_MOUSE	21.109558443004044	19.55908464533242	0.0001587564157274935	0.013159663865677448	1.550473797671625
MOUSE	AL1A1_MOUSE	25.15344688099533	25.164879939728667	0.04434436060792085	0.1693343840017975	-0.011433058733338441
MOUSE	AL1A1_MOUSE;AL1A7_MOUSE	25.338573216394607	25.316279905891015	0.03112688684277018	0.13786639561696581	0.022293310503592068
MOUSE	AL1L1_MOUSE	23.770863343039224	23.88712874123916	0.3901548138746486	0.5869982354039894	-0.11626539819993553
MOUSE	AL3A2_MOUSE	24.254707052351954	23.32752362900019	0.0014376511825171163	0.03131487927862817	0.9271834233517637
MOUSE	AL3B1_MOUSE	23.09468289400504	22.73394710121042	0.7668055313855195	0.8602360909295307	0.3607357927946211
MOUSE	AL4A1_MOUSE	23.15780840154665	22.665856163246758	0.33225498204433596	0.5312716803735144	0.4919522382998913
MOUSE	AL7A1_MOUSE	24.701465710412247	24.384300677797633	0.9608769244356133	0.9526452280291337	0.31716503261461426
MOUSE	AL9A1_MOUSE	24.53755413826787	24.212769436589905	0.9750169638166477	0.9598206222261338	0.32478470167796303
MOUSE	ALAT1_MOUSE	23.287343105446265	23.003665842553946	0.7566606822415364	0.8537103245575827	0.28367726289231854
MOUSE	ALAT2_MOUSE	21.460368938736217	21.605345884385354		1.0	-0.14497694564913743
MOUSE	ALBU_MOUSE	32.66760061364833	32.21924564665586	0.4336497959632414	0.6224469072528194	0.44835496699247557
MOUSE	ALD2_MOUSE	22.152166257065403	21.841626661675484	0.9606491928149301	0.9526452280291337	0.31053959538991904
MOUSE	ALDH2_MOUSE	26.698475835123	26.194624728130133	0.190588067556965	0.38458614042230993	0.5038511069928653
MOUSE	ALDOA_MOUSE	30.232737329118663	30.07528627290254	0.4486917350690758	0.6307401271119111	0.15745105621612154
MOUSE	ALDOA_MOUSE;ALDOC_MOUSE	26.475310728446384	26.731427717774416	0.08925478587215432	0.2530183904300301	-0.2561169893280315
MOUSE	ALDOC_MOUSE	25.26099359577974	25.39265024998052	0.08930392422421825	0.2530183904300301	-0.13165665420077843
MOUSE	ALDR_MOUSE	27.37430823831701	26.899169513172218	0.1742065650048594	0.36530179824883546	0.4751387251447916
MOUSE	ALG2_MOUSE	22.534622618318746	22.093671625695194	0.6675026636134183	0.7922674291201033	0.4409509926235522
MOUSE	ALKB3_MOUSE	21.335683421699063	21.102712223414166	0.7798521416728627	0.8659720018329303	0.23297119828489699
MOUSE	ALR_MOUSE	20.59198817749914	20.248486020926922	0.9075830098216849	0.9335987170373369	0.3435021565722174
MOUSE	AMBP_MOUSE	23.916923278780548	24.22162748236846	0.36205718297971323	0.5615800340764486	-0.3047042035879137
MOUSE	AMFR_MOUSE	20.550250671025875	19.363901431519796		1.0	1.1863492395060788
MOUSE	AMPB_MOUSE	23.058018210640714	22.577064911273116	0.17370184595999383	0.36502186502580136	0.4809532993675987
MOUSE	AMPD1_MOUSE	25.71754802542752	24.775411473300267	0.07717872000838248	0.23278937507681174	0.942136552127252
MOUSE	AMPD2_MOUSE	22.34821800786778	22.021042228726866	0.9778731858337077	0.9605363944369919	0.3271757791409122
MOUSE	AMPD3_MOUSE	21.697874205666658	21.326343381095366	0.7374151980228307	0.840739586560987	0.37153082457129116
MOUSE	AMPE_MOUSE	20.862868552678115	19.89283065394863	0.028018613999972325	0.1299307067536804	0.9700378987294869
MOUSE	AMPH_MOUSE	24.264837612944444	23.810617626790837	0.6714085416128905	0.7947184603679186	0.4542199861536069
MOUSE	AMPL_MOUSE	24.38580694284004	24.01507113560445	0.5796786331626081	0.7356236616508379	0.3707358072355902
MOUSE	AMPN_MOUSE	23.58188397279592	23.271120788220408	0.9435758956238026	0.9483811683659482	0.31076318457551366
MOUSE	AMRP_MOUSE	22.429468170086764	22.49577205867977	0.06294292235758213	0.20449980694635758	-0.06630388859300496
MOUSE	AN32A_MOUSE	23.763506710919795	23.259784477589402	0.10646051223502849	0.280870848053306	0.503722233330393
MOUSE	AN32B_MOUSE	24.08208840064676	23.433612415604035	0.00078232441800704	0.02266588350361481	0.648475985042726
MOUSE	AN32E_MOUSE	23.22547962258967	22.532589885106486	0.010858823352456685	0.08145409764852683	0.6928897374831848
MOUSE	ANFY1_MOUSE	21.162652377813362	20.049138544669717	0.04868889199215438	0.17879019775243754	1.1135138331436458
MOUSE	ANGT_MOUSE	21.833344642543523	22.04208641294088	0.06043531828042269	0.19943029900160422	-0.20874177039735642
MOUSE	ANK1_MOUSE	24.123225399018214	22.53833616667028	0.0008247339928342673	0.02340188314080729	1.5848892323479333
MOUSE	ANK1_MOUSE;ANK3_MOUSE	22.40713948533268	21.373516116983456	0.0038675340043400784	0.05026204234705323	1.0336233683492253
MOUSE	ANK2_MOUSE	23.657345597381873	23.23132172267227	0.4132311183419701	0.6054700262870074	0.42602387470960323
MOUSE	ANK2_MOUSE;ANK3_MOUSE	22.981090612655997	21.875084375316444		1.0	1.1060062373395532
MOUSE	ANK3_MOUSE	24.45285664124465	24.032103903529872	0.2723477228359483	0.47397377545330194	0.4207527377147784
MOUSE	ANKR2_MOUSE	21.94669623240917	20.63940166969186	0.17813129083203857	0.3705086743961456	1.3072945627173098
MOUSE	ANM1_MOUSE	23.102176384996003	22.52010424965935	0.05747916204814821	0.19253397565025798	0.5820721353366523
MOUSE	ANM5_MOUSE	22.770425123831124	22.116067361014974	0.039053943244923235	0.1572028118819104	0.6543577628161508
MOUSE	ANO10_MOUSE	22.223112933201673	21.307134986409	0.08546416221498469	0.24625539284560263	0.9159779467926725
MOUSE	ANO6_MOUSE	22.422722446371665	21.81251286030968	0.09452478727414979	0.25979928080343817	0.610209586061984
MOUSE	ANPRB_MOUSE	20.289988460530253	19.524005956957964	0.17821485005814308	0.3705086743961456	0.7659825035722889
MOUSE	ANS1A_MOUSE	22.50968786759374	21.774502718422568	0.12437009515760966	0.3030562392520636	0.7351851491711727
MOUSE	ANT3_MOUSE	25.29870441043152	24.89009050161688	0.6642282071298289	0.7897715921366325	0.4086139088146403
MOUSE	ANX11_MOUSE	24.5037154425218	23.855976301603132	0.0007063003261222517	0.02266588350361481	0.6477391409186666
MOUSE	ANXA1_MOUSE	24.457509881984425	23.816815670959265	0.05455438240226973	0.1878871554319914	0.6406942110251599
MOUSE	ANXA2_MOUSE	28.793837756615126	28.34716550601208	0.40763134857129124	0.6012611911859531	0.44667225060304716
