triqler_top_protein	msstats	msqrob2	top3
TRFL_MOUSE	8.0	2	7.0
PERM_MOUSE	14.0	5	14.0
SERPH_MOUSE	1401.0	12	17.0
URP2_MOUSE	1667.0	13	37.0
PERE_MOUSE	1707.0	24	64.0
SPTA1_MOUSE	1964.0	27	749.0
SPA3N_MOUSE	2116.0	31	
B3AT_MOUSE	2170.0	71	
CGT_MOUSE	2361.0	907	
ANK1_MOUSE		5098	
