Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
BICD1_MOUSE,LT-Ctrl,-0.439038951599627,0.470261542665177,-0.933605901752888,5.0,0.393363227398089,0.531645831667129,,0.407407407407407,0.185185185185185
BICD2_MOUSE,LT-Ctrl,-inf,,,,,0.0,oneConditionMissing,0.555555555555556,0.111111111111111
BID_MOUSE,LT-Ctrl,-0.222690846420507,0.19652591764525,-1.13313729348659,2.0,0.374710766883525,0.514075057817172,,0.530864197530864,0.197530864197531
BIG1_MOUSE,LT-Ctrl,-0.541770772543117,0.364938939446077,-1.4845518358919,7.0,0.181238834472745,0.307755525536377,,0.281045751633987,0.281045751633987
BIP_MOUSE;HS71L_MOUSE;HSP72_MOUSE;HSP7C_MOUSE,LT-Ctrl,0.161065146848056,0.305057776030583,0.527982433176557,7.0,0.61382905982452,0.726719877682802,,0.0,0.0
BIP_MOUSE;HSP72_MOUSE;HSP7C_MOUSE,LT-Ctrl,-0.133860122122383,0.10944595022448,-1.22307058276554,7.0,0.260876247720523,0.399110794914573,,0.0,0.0
BIR1A_MOUSE,LT-Ctrl,0.296696053733521,0.945482712069858,0.313803785035891,3.0,0.774224509824543,0.849431324362114,,0.466666666666667,0.133333333333333
BIRC2_MOUSE,LT-Ctrl,,,,,,,,,
BL1S1_MOUSE,LT-Ctrl,-0.810498710664539,0.19860340612538,-4.08099098840664,7.0,0.0046838294026496,0.0292347847512737,,0.209876543209877,0.209876543209877
BMAL1_MOUSE,LT-Ctrl,0.104386355816153,0.425807293742615,0.245149290183956,0.0,,,,0.488888888888889,0.0444444444444444
BNIP3_MOUSE,LT-Ctrl,-inf,,,,,0.0,oneConditionMissing,,
BOLA1_MOUSE,LT-Ctrl,-0.360404158872976,0.24114159457361,-1.49457483479882,7.0,0.178673312298485,0.304729797040398,,0.0462962962962963,0.0462962962962963
BORC5_MOUSE,LT-Ctrl,-0.306474746954732,0.380262262124447,-0.805956250411284,7.0,0.44677875532026,0.580215540067628,,0.367149758454106,0.367149758454106
BORC7_MOUSE,LT-Ctrl,-0.15294067848193,0.165315506013202,-0.925144181391651,7.0,0.385674114035513,0.523646760656663,,0.163398692810457,0.163398692810458
BORG5_MOUSE,LT-Ctrl,0.181073464621527,0.184630767698069,0.980732880435403,7.0,0.359396779243424,0.498104904837373,,0.0784313725490197,0.0784313725490196
BRAF_MOUSE,LT-Ctrl,0.426320095943771,0.139612086922987,3.05360449327671,4.0,0.0378944731446569,0.105902213449442,,0.355555555555556,0.133333333333333
