top3_top_protein	msstats	msqrob2	triqler
RAB5C_MOUSE	192.0	1.0	
PNPH_MOUSE	1964.0	4.0	
MSS4_MOUSE	2042.0	21.0	
HBB1_MOUSE;HBB2_MOUSE	2245.0	24.0	
PSA3_MOUSE	2486.0	228.0	
AACS_MOUSE		1541.0	
HMCS1_MOUSE		1742.0	
ANK1_MOUSE		2055.0	
ANK1_MOUSE;ANK3_MOUSE			
AT2L2_MOUSE			
