specie	ProteinName	metastatic	primary	p	q	log2(A,B)
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2	25.498280478679295	25.113733642638337	0.38148145605197203	0.7316836667920891	0.38454683604095763
A0AVT1	A0AVT1	22.82653940779059	22.769856318611154	0.016692148161580052	0.20706368071649273	0.05668308917943676
A0FGR8	A0FGR8	26.17190704037985	25.53576928186825	0.8961081479792479	1.0	0.6361377585115982
A0JLT2	A0JLT2	20.590594718753007	19.952530294206806		1.0	0.6380644245462008
A0JNW5	A0JNW5	20.60647911958211	20.098530995764694		1.0	0.5079481238174175
A0MZ66	A0MZ66	21.996234055929783	21.94357229268547		1.0	0.05266176324431271
A1A4S6	A1A4S6	21.40945979499459	20.811035955576862	0.9830214805286558	1.0	0.5984238394177268
A1L020	A1L020	21.580572738947282	19.83060672460745		1.0	1.749966014339833
A1L0T0	A1L0T0	24.423163001977787	24.167958466968066	0.18061051489251165	0.5390069859241252	0.25520453500972096
A1X283	A1X283	22.59205063047712	23.266034588496318	0.02976072453561711	0.2588935281067488	-0.6739839580191962
A2RRP1	A2RRP1	24.05814058687514	23.299150356274925	0.45404885851115595	0.7866362117606167	0.7589902306002152
A2RU67	A2RU67	21.86755309922342	21.505993713736345	0.6250166635934049	0.9030356379698178	0.36155938548707667
A3KMH1	A3KMH1	23.916159301926953	23.624377291461577	0.42308054289895203	0.7676410513087043	0.29178201046537566
A3KN83	A3KN83	23.388722260081792	23.491610975399194	0.10884539721339216	0.4335976494067515	-0.10288871531740185
A4D1E9	A4D1E9	23.957309252971644	24.01043156960591	0.04580970641478967	0.30479722295939476	-0.05312231663426559
A4D1P6	A4D1P6	23.980090057137087	22.602976900806933	0.344127481913059	0.7061052465217538	1.3771131563301537
A4D2B0	A4D2B0	21.53859356786525	20.637355623731143		1.0	0.9012379441341061
A5A3E0;Q6S8J3;P0CG38;P0CG39	A5A3E0;Q6S8J3;P0CG38;P0CG39	29.53833690125134	29.365308039938455	0.03484955400578148	0.2742671957543614	0.1730288613128863
A5YKK6	A5YKK6	25.028773923195192	24.86101205720415	0.1670725035005806	0.5178142238793565	0.16776186599104292
A6NDU8	A6NDU8	21.09617158818371	21.39923884359941	8.214439683458022e-05	0.011998533590716856	-0.3030672554156979
A6NFI3	A6NFI3	22.990798828721914	22.045325096180683	0.1104072558620851	0.4346433104822759	0.945473732541231
A6NHL2	A6NHL2	27.929073401064237	27.626141595062734	0.2546673369920782	0.6169120268192562	0.30293180600150293
A6NHR9	A6NHR9	23.87159209662759	23.459720736779335	0.37987299762156346	0.7302252869143088	0.41187135984825574
A6NIH7	A6NIH7	23.429655249133088	23.4351387567891	0.17877459583982078	0.5381596436532329	-0.005483507656013131
A6NJ78	A6NJ78	22.622765768866135	22.648945381030405		1.0	-0.02617961216427034
A6NMY6;P07355	A6NMY6;P07355	30.693339113526775	28.5175245243869	0.08402131095864657	0.40175408638565396	2.1758145891398755
A7E2V4	A7E2V4	21.897634248340637	21.22781453111277	0.7784904129416449	0.9855687204427239	0.6698197172278668
A8K0Z3;C4AMC7;Q6VEQ5	A8K0Z3;C4AMC7;Q6VEQ5	22.428761152227896	21.651994101509	0.14367914471380597	0.4839602818664507	0.7767670507188953
C9J7I0	C9J7I0	21.341215142871043	21.03061917322699	0.6082974416664215	0.8942637710272691	0.31059596964405145
L0R819	L0R819	23.374156009294463	23.34812870077229	0.032466967690890136	0.2671535045838273	0.026027308522174053
O00116	O00116	26.125716188953316	25.93036370903566	0.0957660584712876	0.4174268714172394	0.19535247991765559
O00148	O00148	26.618375878783386	26.492292730374547	0.02901664291581769	0.25732730211006843	0.1260831484088385
O00154	O00154	28.531303804076103	28.234018600019798	0.2691779524183185	0.6324784608264832	0.29728520405630476
O00159	O00159	26.619181216738927	24.75362648399628	0.006833677280845648	0.13277611026539712	1.8655547327426483
O00161	O00161	23.302099718574503	23.069181585516194		1.0	0.232918133058309
O00170	O00170	25.153170618498624	24.532525217817756	0.8978489718151543	1.0	0.6206454006808677
O00178	O00178	24.73341068128874	24.301462743651165	0.44164835739780484	0.7797384886584134	0.4319479376375739
O00186	O00186	23.673267024541268	22.635187672001713	0.20942912792101612	0.5759661616263901	1.0380793525395546
O00203	O00203	25.294167158241898	24.93357438952658	0.452272058040909	0.7864600350262793	0.36059276871531765
O00213	O00213	23.05619105046838	24.094799099368124	0.0003344497988003154	0.025430615508831727	-1.038608048899743
O00221	O00221	21.941677173904253	22.010327006730048	0.18957656582632915	0.5513487932131741	-0.06864983282579473
O00231	O00231	25.944496231308634	26.005696081496144	0.0011725285375672994	0.05664012307849519	-0.06119985018750995
O00232	O00232	24.54825806870651	24.563302966474673	0.003154695811676082	0.09058184124064364	-0.015044897768163423
O00233	O00233	25.74427065398486	25.48961472641528	0.14693976666900402	0.4876007331460782	0.2546559275695799
O00244	O00244	28.56366432040535	28.91010448370514	0.04296734434280964	0.2965112933238994	-0.3464401632997891
O00255	O00255	23.27595872875751	22.63163447004731	0.8363890951233068	1.0	0.6443242587101992
O00257	O00257	23.13105808596196	22.935076916811273	0.10948029934335342	0.4335976494067515	0.19598116915068786
O00264	O00264	23.863890398663308	23.0976222591442	0.5504075971574354	0.8580020819038611	0.7662681395191093
O00267	O00267	25.18633519498474	24.947168237692416	0.1543262435753728	0.4962135056893592	0.23916695729232273
O00268	O00268	23.13858760327295	21.409013676935043	0.5904401855290441	0.8828665602710903	1.7295739263379062
O00273	O00273	25.699429160251213	25.63934741168294	0.024941961018166314	0.24185791127288497	0.06008174856827253
